season_end_year,team_abbr,prior_roster_transition_player_count,prior_roster_returning_player_count,prior_roster_incoming_player_count,prior_roster_new_player_count,prior_roster_player_match_rate,prior_roster_continuity_minutes_share,prior_roster_incoming_minutes_share,prior_roster_minutes_covered,prior_roster_expected_net_rating,prior_roster_expected_off_rating,prior_roster_expected_def_rating,prior_roster_top8_expected_net_rating,prior_roster_top8_expected_off_rating,prior_roster_top8_expected_def_rating,prior_roster_top8_projection_wins,roster_feature_source
2012,LAC,,,,,,,,,,,,,,,,
2012,LAL,,,,,,,,,,,,,,,,
2012,MEM,,,,,,,,,,,,,,,,
2012,MIA,,,,,,,,,,,,,,,,
2012,MIL,,,,,,,,,,,,,,,,
2012,MIN,,,,,,,,,,,,,,,,
2012,NOP,,,,,,,,,,,,,,,,
2012,NYK,,,,,,,,,,,,,,,,
2012,OKC,,,,,,,,,,,,,,,,
2012,ORL,,,,,,,,,,,,,,,,
2012,PHI,,,,,,,,,,,,,,,,
2012,PHO,,,,,,,,,,,,,,,,
2012,POR,,,,,,,,,,,,,,,,
2012,SAC,,,,,,,,,,,,,,,,
2012,SAS,,,,,,,,,,,,,,,,
2012,TOR,,,,,,,,,,,,,,,,
2012,UTA,,,,,,,,,,,,,,,,
2012,WAS,,,,,,,,,,,,,,,,
2013,ATL,,,,,,,,,,,,,,,,
2013,BOS,,,,,,,,,,,,,,,,
2013,BRK,,,,,,,,,,,,,,,,
2013,CHI,,,,,,,,,,,,,,,,
2013,CHO,,,,,,,,,,,,,,,,
2013,CLE,,,,,,,,,,,,,,,,
2013,DAL,,,,,,,,,,,,,,,,
2013,DEN,,,,,,,,,,,,,,,,
2013,DET,,,,,,,,,,,,,,,,
2013,GSW,,,,,,,,,,,,,,,,
2013,HOU,,,,,,,,,,,,,,,,
2013,IND,,,,,,,,,,,,,,,,
2013,LAC,,,,,,,,,,,,,,,,
2013,LAL,,,,,,,,,,,,,,,,
2013,MEM,,,,,,,,,,,,,,,,
2013,MIA,,,,,,,,,,,,,,,,
2013,MIL,,,,,,,,,,,,,,,,
2013,MIN,,,,,,,,,,,,,,,,
2013,NOP,,,,,,,,,,,,,,,,
2013,NYK,,,,,,,,,,,,,,,,
2013,OKC,,,,,,,,,,,,,,,,
2013,ORL,,,,,,,,,,,,,,,,
2013,PHI,,,,,,,,,,,,,,,,
2013,PHO,,,,,,,,,,,,,,,,
2013,POR,,,,,,,,,,,,,,,,
2013,SAC,,,,,,,,,,,,,,,,
2013,SAS,,,,,,,,,,,,,,,,
2013,TOR,,,,,,,,,,,,,,,,
2013,UTA,,,,,,,,,,,,,,,,
2013,WAS,,,,,,,,,,,,,,,,
2014,ATL,16.0,0.0,0.0,16.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,BOS,16.0,0.0,0.0,16.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,BRK,17.0,0.0,0.0,17.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,CHI,16.0,0.0,0.0,16.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,CHO,15.0,0.0,0.0,15.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,CLE,18.0,0.0,0.0,18.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,DAL,15.0,0.0,0.0,15.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,DEN,14.0,0.0,0.0,14.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,DET,15.0,0.0,0.0,15.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,GSW,14.0,0.0,0.0,14.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,HOU,16.0,0.0,0.0,16.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,IND,15.0,0.0,0.0,15.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,LAC,18.0,0.0,0.0,18.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,LAL,18.0,0.0,0.0,18.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,MEM,16.0,0.0,0.0,16.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,MIA,17.0,0.0,0.0,17.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,MIL,16.0,0.0,0.0,16.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,MIN,16.0,0.0,0.0,16.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,NOP,18.0,0.0,0.0,18.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,NYK,16.0,0.0,0.0,16.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,OKC,18.0,0.0,0.0,18.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,ORL,14.0,0.0,0.0,14.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,PHI,18.0,0.0,0.0,18.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,PHO,15.0,0.0,0.0,15.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,POR,15.0,0.0,0.0,15.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,SAC,16.0,0.0,0.0,16.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,SAS,15.0,0.0,0.0,15.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,TOR,15.0,0.0,0.0,15.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,UTA,17.0,0.0,0.0,17.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2014,WAS,15.0,0.0,0.0,15.0,0.0,,,0.0,,,,,,,,season-level roster proxy
2015,ATL,15.0,12.0,3.0,0.0,1.0,0.8658025792324575,0.13419742076754249,19698.36666666667,-0.39532808980778444,103.6564053280221,104.07176538325511,0.8124492152939103,104.61962512139364,103.8325374667395,43.19361288129356,season-level roster proxy
2015,BOS,14.0,6.0,6.0,2.0,0.8571428571428571,0.551093588182925,0.4489064118170752,18346.333333333332,-2.092117244135977,102.24323227166192,104.3353495157979,-2.3159097553684225,102.41773685391158,104.73364660927999,34.747043660505256,season-level roster proxy
2015,BRK,16.0,7.0,5.0,4.0,0.75,0.6277632172490305,0.3722367827509694,16674.328333333335,-3.593810835159077,102.92665253782833,106.50728803968813,-3.1230267028467495,103.7431831054745,106.85146932474345,32.56782790231377,season-level roster proxy
2015,CHI,14.0,8.0,3.0,3.0,0.7857142857142857,0.7464611250550391,0.25353887494496097,19512.675,0.5816944883261779,101.25379455490685,100.6697051702718,1.1054431300163665,101.98377400687495,100.87564652995614,43.98469645104419,season-level roster proxy
2015,CHO,16.0,8.0,6.0,2.0,0.875,0.5953587227307662,0.4046412772692338,20978.923333333332,-0.2799899089196985,102.8944283842339,103.18767233367713,0.537304019207029,103.86627910328762,103.33068371539021,42.450720851858975,season-level roster proxy
2015,CLE,17.0,4.0,10.0,3.0,0.8235294117647058,0.3179121176792327,0.6820878823207673,25669.326666666664,0.943481526200272,106.54072253940438,105.58780869203427,0.8348070679544054,107.26240436902825,106.41510397460209,43.25397908347689,season-level roster proxy
2015,DAL,16.0,5.0,10.0,1.0,0.9375,0.3161903578784827,0.6838096421215175,21841.631666666664,-0.9862913553695892,106.33531354762188,107.30864269221647,-0.2895007702905136,106.80061669947983,107.07317656187004,40.218347920215614,season-level roster proxy
2015,DEN,17.0,8.0,4.0,5.0,0.7058823529411765,0.81508569931603,0.18491430068396997,15676.126666666665,-2.493872338362495,104.51750229329608,106.99370659801592,-2.706795488480559,104.76366335996975,107.4555262595383,33.69165218110249,season-level roster proxy
2015,DET,15.0,4.0,10.0,1.0,0.9333333333333333,0.4312468374689948,0.5687531625310052,22305.446666666667,-2.3374570246968083,103.87785347345654,106.23233651900269,-2.1804547234970033,104.76213584578281,106.96786762596011,35.112772246558094,season-level roster proxy
2015,GSW,15.0,9.0,3.0,3.0,0.8,0.8595276539634448,0.14047234603655523,19645.978333333333,6.164380394392847,106.54943383238658,100.3795831241797,7.2969187526501855,107.55885386440893,100.26193511175875,60.7016806321555,season-level roster proxy
2015,HOU,17.0,6.0,6.0,5.0,0.7058823529411765,0.5036765505539961,0.49632344944600393,21915.016666666666,3.3080406509691604,108.23204610080911,104.92400544983997,4.032289611700889,109.0673624356684,105.03507282396752,51.887181951592396,season-level roster proxy
2015,IND,15.0,11.0,2.0,2.0,0.8666666666666667,0.8450765433819448,0.1549234566180551,18941.655000000002,3.250811399531878,102.7862248749295,99.54154365955175,4.59648735323443,103.46267138488213,98.87343959489358,53.41051585373296,season-level roster proxy
2015,LAC,18.0,8.0,7.0,3.0,0.8333333333333334,0.6591706193152368,0.34082938068476326,22414.998333333333,3.0546915870839166,107.91447817789266,104.85978659080874,4.414606974724692,109.24862275595285,104.83401578122815,52.91943883175667,season-level roster proxy
2015,LAL,18.0,7.0,7.0,4.0,0.7777777777777778,0.5976898000142663,0.40231019998573375,15117.161666666667,-2.6268418773938715,102.71392593869858,105.34076781609245,-2.5996469265345388,102.94996447511522,105.54961140164974,33.980953298356745,season-level roster proxy
2015,MEM,18.0,9.0,2.0,7.0,0.6111111111111112,0.7479430699145228,0.25205693008547747,18957.053333333333,0.6185927366348779,103.89680687012539,103.2782285080874,0.9884481355094671,104.155491986166,103.16706036590313,43.66880996587556,season-level roster proxy
2015,MIA,17.0,6.0,4.0,7.0,0.5882352941176471,0.5555413506402594,0.44445864935974055,16856.45,3.780763624606604,107.57165386741178,103.77688938062282,4.366026953700282,107.98480415981987,103.60398279202488,52.78827277499076,season-level roster proxy
2015,MIL,18.0,8.0,7.0,3.0,0.8333333333333334,0.5449841557332826,0.45501584426671726,22489.733333333337,-5.002830921368564,102.32843009106375,107.32170875006666,-4.337922149739606,103.50475557482844,107.83263359736719,29.28761019570306,season-level roster proxy
2015,MIN,18.0,7.0,7.0,4.0,0.7777777777777778,0.709860195654508,0.2901398043454921,12667.226666666667,1.2174951870548882,105.59482342622748,104.38747356695809,1.964474587961828,106.37753713683614,104.42244214328612,46.304081387496936,season-level roster proxy
2015,NOP,16.0,9.0,7.0,0.0,1.0,0.5895294976029972,0.41047050239700283,19018.89,-1.2563929861311571,105.25352633618472,106.52482166414548,-1.5572587926536825,105.12419563649956,106.69661305958336,36.79540125983506,season-level roster proxy
2015,NYK,16.0,4.0,9.0,3.0,0.8125,0.4732337577284631,0.526766242271537,13617.681666666665,-1.6687466992974453,105.04218057674771,106.72433562785835,-1.926936480635692,105.31689283648683,107.26136105726431,35.797271502283635,season-level roster proxy
2015,OKC,16.0,8.0,6.0,2.0,0.875,0.543636180126811,0.45636381987318875,22903.605000000003,2.423908041259589,106.40709092156743,103.98318288030784,1.1070431727422139,105.72405774697756,104.61701457423536,43.989016566403976,season-level roster proxy
2015,ORL,15.0,7.0,5.0,3.0,0.8,0.6399537146809515,0.3600462853190487,16954.26,-2.977069637168869,101.5831128086196,104.54984470962856,-3.0298277141104535,101.91854000300286,104.93882491930704,32.819465171901776,season-level roster proxy
2015,PHI,20.0,5.0,6.0,9.0,0.55,0.6542212456538196,0.3457787543461801,9344.891666666668,-7.725879789938708,98.66850600194222,106.41611078066715,-7.991464108024688,98.40851030679063,106.42254173340092,19.42304690833334,season-level roster proxy
2015,PHO,17.0,8.0,6.0,3.0,0.8235294117647058,0.633267093272922,0.3667329067270779,17653.80166666667,0.6719476853002669,105.76044406299265,105.08486158930262,0.8189051919285296,106.76468568923931,105.94099956720497,43.21104401820703,season-level roster proxy
2015,POR,16.0,11.0,4.0,1.0,0.9375,0.7408837273544967,0.25911627264550324,22407.778333333335,1.980708968098652,107.41331950430603,105.41877705115341,2.4615568049281866,108.18412349686453,105.70902326130123,47.64620337330611,season-level roster proxy
2015,SAC,17.0,8.0,4.0,5.0,0.7058823529411765,0.7277189913479303,0.27228100865206956,17686.905000000002,-0.6719167466929156,104.89008505633593,105.54683921051569,-0.0877127033137722,105.37403793989728,105.43815637287396,40.763175701052816,season-level roster proxy
2015,SAS,15.0,13.0,1.0,1.0,0.9333333333333333,0.9991289672344622,0.0008710327655377323,19153.50833333333,8.092861107690888,108.12462342625656,100.03683480963672,8.837551926437023,108.83132233093608,99.99389811424808,64.86139020137996,season-level roster proxy
2015,TOR,16.0,10.0,3.0,3.0,0.8125,0.8400710372977104,0.15992896270228973,21306.17833333333,2.4080914244983878,106.4032141928785,103.96410692923422,2.9640366687003037,107.34641601617759,104.34415853460924,49.00289900549082,season-level roster proxy
2015,UTA,16.0,6.0,3.0,7.0,0.5625,0.8034661947623546,0.19653380523764563,13814.476666666666,-5.68632926859577,102.69114124965043,108.36622563576422,-5.746906414591738,102.77678823680094,108.51213820427239,25.48335268060231,season-level roster proxy
2015,WAS,16.0,10.0,6.0,0.0,1.0,0.6255283113791147,0.37447168862088553,22255.656666666666,0.38187115575261227,103.31211625299157,102.92165842631469,1.252468995214739,104.04395904331966,102.77676665595096,44.381666287079796,season-level roster proxy
2016,ATL,15.0,9.0,4.0,2.0,0.8666666666666667,0.7230658707297347,0.2769341292702655,20459.744999999995,4.284836663409052,105.63479342810318,101.36163595880596,4.135771257499448,106.19548246696459,102.0751219990386,52.16658239524851,season-level roster proxy
2016,BOS,15.0,10.0,1.0,4.0,0.7333333333333333,0.8908560589756953,0.10914394102430475,18129.728333333333,1.4972898288510852,104.17565805591683,102.68155672860331,0.6847410115394079,103.97466280478976,103.30186197480462,42.8488007311564,season-level roster proxy
2016,BRK,17.0,6.0,7.0,4.0,0.7647058823529411,0.5641532855854174,0.4358467144145826,17664.76166666667,-5.951830183198055,99.89688638123901,105.83177041637602,-6.253268708396679,99.78195514948374,106.00949790070234,24.116174487328966,season-level roster proxy
2016,CHI,15.0,11.0,2.0,2.0,0.8666666666666667,0.9420194387975583,0.05798056120244169,19191.173333333332,2.821050154654432,105.07864263814339,102.21890272646176,3.812356603943709,106.06815922889575,102.21510658876703,51.293362830648014,season-level roster proxy
2016,CHO,16.0,6.0,8.0,2.0,0.875,0.49277059496508885,0.5072294050349113,19515.206666666665,-0.9182800267552036,102.27975904943872,103.20889524271844,-1.0009178329210549,102.17098202857858,103.18525770736699,38.29752185111315,season-level roster proxy
2016,CLE,17.0,10.0,5.0,2.0,0.8823529411764706,0.7738851474364724,0.2261148525635276,23467.565000000002,3.2661293150780666,107.78602648662807,104.51546256148289,4.590655053343704,109.09793062598595,104.49635439356203,53.394768644028,season-level roster proxy
2016,DAL,15.0,7.0,6.0,2.0,0.8666666666666667,0.5442496805077219,0.45575031949227807,16004.56,3.4320977583888594,106.05566922802004,102.64298584278482,4.166127426905565,106.77498829345797,102.63246992287796,52.24854405264502,season-level roster proxy
2016,DEN,16.0,9.0,4.0,3.0,0.8125,0.6715868394745192,0.32841316052548064,13981.103333333334,-2.9295333153248992,101.21677433183025,104.12803530527276,-1.6633959142100148,102.3504241488088,104.00096047901744,36.50883103163296,season-level roster proxy
2016,DET,15.0,6.0,7.0,2.0,0.8666666666666667,0.5707611619066064,0.42923883809339364,18674.191666666666,-0.19864451071733136,104.01095976041802,104.22055523152943,-0.44847616568958776,104.32255887505401,104.78366211526719,39.789114352638116,season-level roster proxy
2016,GSW,15.0,12.0,2.0,1.0,0.9333333333333333,0.9562574892963501,0.04374251070364995,18924.229999999996,10.543050214812792,109.71328664363098,99.17665177570416,12.652687000595488,111.04186443117092,98.39785666813385,75.16225490160782,season-level roster proxy
2016,HOU,14.0,11.0,1.0,2.0,0.8571428571428571,0.9744562670373147,0.025543732962685247,19762.381666666668,2.5475349167176122,104.20294006398856,101.66916365259281,1.9788761445835878,104.16057734777908,102.20481243995164,46.342965590375684,season-level roster proxy
2016,IND,15.0,8.0,4.0,3.0,0.8,0.5659220374416916,0.4340779625583085,17277.353333333333,0.2226142275649472,103.8521840054206,103.64353592158984,-0.24160824717390844,103.80732423112178,104.06425546223183,40.347657732630445,season-level roster proxy
2016,LAC,16.0,7.0,8.0,1.0,0.9375,0.5490735513290265,0.4509264486709734,25149.17166666667,2.9167613671570227,107.09099658882073,104.19821573977617,5.019096245795675,108.93463609243256,103.94049148030409,54.55155986364832,season-level roster proxy
2016,LAL,15.0,7.0,3.0,5.0,0.6666666666666666,0.5528488641484763,0.4471511358515237,13128.916666666666,-3.0975399595041484,102.78387107339395,105.88689173389528,-2.992867949851302,102.87172726424804,105.87053451719345,32.91925653540149,season-level roster proxy
2016,MEM,21.0,10.0,8.0,3.0,0.8571428571428571,0.5938837596011266,0.4061162403988734,20294.493333333336,2.8605860489577792,104.12540185777817,101.26820231038042,4.238236552901486,105.74305500579683,101.50481845289534,52.443238692834015,season-level roster proxy
2016,MIA,15.0,9.0,3.0,3.0,0.8,0.7185129210590461,0.2814870789409538,19473.120000000003,-2.1841136226073,103.6807606502365,105.85853266793747,-1.882696568467056,104.24998404534749,106.12516773171278,35.91671926513895,season-level roster proxy
2016,MIL,16.0,10.0,4.0,2.0,0.875,0.7367972195961868,0.26320278040381306,19576.053333333337,-0.5151261592394516,101.0150696360996,101.54522285390856,0.45803804596067205,101.20677805274319,100.76578507739148,42.23670272409382,season-level roster proxy
2016,MIN,14.0,8.0,3.0,3.0,0.7857142857142857,0.7985747329343493,0.20142526706565056,13935.4,-7.681298946089335,100.46766458085163,108.18206903521485,-7.599612821638497,100.66515650083231,108.29706743004115,20.481045381576056,season-level roster proxy
2016,NOP,19.0,11.0,6.0,2.0,0.8947368421052632,0.8216380568668586,0.17836194313314138,21381.756666666668,0.29862858165535816,105.1340799329397,104.83767045489091,1.4225600067839816,106.95431551260126,105.5305571804098,44.84091201831675,season-level roster proxy
2016,NYK,16.0,6.0,6.0,4.0,0.75,0.4580455800922676,0.5419544199077324,15784.888333333334,-6.1513551621577305,100.62930456798712,106.74070044630238,-5.263356850982386,102.17540675865695,107.3957398378934,26.788936502347557,season-level roster proxy
2016,OKC,15.0,11.0,2.0,2.0,0.8666666666666667,0.9363458039701565,0.06365419602984343,19080.02,2.4971906388637604,106.556204387277,104.05695923449414,2.4363196732263757,107.03928174789445,104.60041117843097,47.57806311771122,season-level roster proxy
2016,ORL,15.0,8.0,5.0,2.0,0.8666666666666667,0.6333965900038071,0.3666034099961929,18303.735,-4.4975134947411926,101.08190647974307,105.57917890346788,-4.567971256460184,101.76203204567787,106.32970814985953,28.666477607557503,season-level roster proxy
2016,PHI,14.0,6.0,4.0,4.0,0.7142857142857143,0.7404318163718813,0.25956818362811857,12410.445000000002,-6.0316785041417385,96.31639516820977,102.34807367235152,-6.798761657976306,95.71434098551458,102.5131026434909,22.643343523463972,season-level roster proxy
2016,PHO,16.0,6.0,7.0,3.0,0.8125,0.5820413378370156,0.41795866216298444,16983.63333333333,-1.2374008898763322,101.89765343693637,103.13506077419636,-0.7292560861331893,102.9520554852936,103.68509039270099,39.03100856744039,season-level roster proxy
2016,POR,16.0,5.0,8.0,3.0,0.8125,0.4026382149167775,0.5973617850832225,16951.74,-0.4686819268503801,102.07463087368416,102.53301507691835,0.01394323507081807,103.0915515228124,103.06803300533828,41.03764673469121,season-level roster proxy
2016,SAC,15.0,6.0,6.0,3.0,0.8,0.5676386941146663,0.43236130588533356,17748.47,-1.0523798858906335,103.23049519197991,104.28148495804615,-0.9930139270122419,104.39777968514089,105.38916002479819,38.318862397066944,season-level roster proxy
2016,SAS,18.0,9.0,7.0,2.0,0.8888888888888888,0.5767792193046559,0.4232207806953441,24601.871666666666,3.6868364554648045,105.70366732937597,102.04048426396827,6.9497830599619865,107.36517880850485,100.43937160461495,59.764414261897365,season-level roster proxy
2016,TOR,16.0,8.0,6.0,2.0,0.875,0.5658201380378903,0.43417986196210967,21694.285,1.4709244546816513,106.36000322204674,104.8692423603728,1.9417310535167962,107.51931396886711,105.55194805531849,46.24267384449535,season-level roster proxy
2016,UTA,16.0,10.0,2.0,4.0,0.75,0.9361221032689999,0.06387789673100026,17084.991666666665,0.17757098701150476,102.70874017595366,102.52761632407392,0.7628707076714046,102.8012336910591,102.03419621423092,43.05975091071279,season-level roster proxy
2016,WAS,17.0,9.0,6.0,2.0,0.8823529411764706,0.5902163849158919,0.40978361508410815,22855.798333333332,0.8844733273008256,101.98333568017277,101.10500956759407,3.0903757083780206,103.44389961012732,100.37441898185949,49.34401441262065,season-level roster proxy
2017,ATL,18.0,9.0,6.0,3.0,0.8333333333333334,0.5933761801788968,0.4066238198211031,20076.935,0.9073123462321314,103.41760824050085,102.50743942406214,1.7632452376204903,103.77728469905601,102.0201059605623,45.76076214157533,season-level roster proxy
2017,BOS,15.0,11.0,2.0,2.0,0.8666666666666667,0.7794735917467398,0.22052640825326034,18992.736666666664,3.5641113418620916,104.90059972926495,101.35861064255968,4.253761123525169,105.80805884068445,101.57970220302884,52.485155033517955,season-level roster proxy
2017,BRK,18.0,3.0,12.0,3.0,0.8333333333333334,0.2559152060891154,0.7440847939108844,14411.726666666667,-1.7750944485486124,102.58311072140789,104.33842248372737,-0.8278763586852802,102.96056718260448,103.76258667122516,38.76473383154974,season-level roster proxy
2017,CHI,16.0,4.0,10.0,2.0,0.875,0.27148016980863143,0.7285198301913687,20415.923333333332,-3.1591530352860198,102.87586729280102,106.04927823494636,-3.1733565154762142,102.80511672080574,105.99665116564685,32.431937408214225,season-level roster proxy
2017,CHO,17.0,8.0,7.0,2.0,0.8823529411764706,0.6842786543619526,0.31572134563804727,18526.775,0.9995001378635335,104.36913968207274,103.3806326789201,2.2600000678620926,105.27883135326239,103.03370685760231,47.10200018322765,season-level roster proxy
2017,CLE,19.0,11.0,6.0,2.0,0.8947368421052632,0.6700037964135321,0.32999620358646786,23842.678333333333,5.685911754740641,108.44512120317579,102.74147350755545,7.759657242391479,110.46839150221365,102.682101854476,61.951074554456994,season-level roster proxy
2017,DAL,19.0,6.0,3.0,10.0,0.47368421052631576,0.6654060967385645,0.3345939032614354,14042.59,0.4603702617062332,104.62078080563012,104.17724153212953,0.3136616280796793,104.55734156763421,104.26100089456538,41.84688639581513,season-level roster proxy
2017,DEN,17.0,9.0,4.0,4.0,0.7647058823529411,0.728394180414006,0.27160581958599406,20662.179999999997,-4.012735353513844,103.68429984154628,107.702030948977,-3.786003761010581,104.44238892653722,108.24124709275914,30.777789845271432,season-level roster proxy
2017,DET,15.0,9.0,4.0,2.0,0.8666666666666667,0.7828655260240754,0.2171344739759244,21689.723333333335,-0.19592421418622671,104.36117986444272,104.57224077854383,0.14336080083388253,104.80545675338232,104.67991041334733,41.38707416225148,season-level roster proxy
2017,GSW,16.0,9.0,5.0,2.0,0.875,0.5992992258224742,0.4007007741775257,21327.365,9.241421807147763,111.09353794995303,101.85377453645428,10.479427925131608,112.39272000297478,101.91523571168331,69.29445539785534,season-level roster proxy
2017,HOU,15.0,5.0,4.0,6.0,0.6,0.6033872673247441,0.396612732675256,16363.829999999998,-0.044953595826893636,106.3967770075832,106.41098384872818,-0.16207536942202086,106.38012109312238,106.51072146757248,40.562396502560546,season-level roster proxy
2017,IND,16.0,9.0,6.0,1.0,0.9375,0.5810367063843761,0.4189632936156239,20920.838333333333,0.07782282943887785,102.61823134397977,102.53976990883811,0.45308542337918345,103.30736131650724,102.85572199868555,42.223330643123795,season-level roster proxy
2017,LAC,15.0,9.0,4.0,2.0,0.8666666666666667,0.7787343776984252,0.22126562230157487,20604.225,4.616493267764258,106.89697460108303,102.2666834836059,4.529113940498611,107.09760377753724,102.55088696488303,53.22860763934625,season-level roster proxy
2017,LAL,16.0,8.0,5.0,3.0,0.8125,0.6199262315062212,0.38007376849377894,18310.436666666665,-6.623307654596259,100.56716464617355,107.21292088246211,-7.121134136597612,100.8637620593349,108.0123749878257,21.772937831186447,season-level roster proxy
2017,MEM,16.0,8.0,4.0,4.0,0.75,0.7257325302520967,0.2742674697479034,14097.369999999999,-1.406321261814556,104.37548664514492,105.74330943762324,-0.9117795002231462,104.67147717864864,105.5405254022637,38.538195349397505,season-level roster proxy
2017,MIA,14.0,7.0,5.0,2.0,0.8571428571428571,0.6154583460113827,0.3845416539886172,15506.898333333336,0.5161729741999771,104.09289623682535,103.53872754910475,1.0184810883316706,104.40485634256093,103.34234612045826,43.74989893849551,season-level roster proxy
