team_abbr,player_id,player_name,position,estimated_return_date,injury_status,comment,status_weight
DAL,DAL-santi-aldama,Santi Aldama,F,Oct 1,Day-To-Day,"Aug 19: Aldama (knee) is expected to be ready in time for training camp, according to NBA reporter Marc Stein.",0.3
DAL,DAL-kyrie-irving,Kyrie Irving,G,Oct 1,Day-To-Day,"Jul 27: Irving (knee) should be fully healthy by the end of the offseason, per Christian Clark of The New York Times.",0.3
DAL,DAL-dereck-lively-ii,Dereck Lively II,C,Oct 1,Day-To-Day,"Jun 26: Lively (foot) still hasn't progressed to running yet, per Christian Clark of The Athletic.",0.3
DEN,DEN-aaron-gordon,Aaron Gordon,F,Oct 1,Day-To-Day,Aug 20: Gordon (calf) could see more usage for Denver in 2026-27 after Peyton Watson was shipped to Cleveland.,0.3
DEN,DEN-trevon-brazile,Trevon Brazile,F,Oct 1,Day-To-Day,"Jul 19: Brazile is out for Sunday's Summer League finale for undisclosed reasons, Ryan Blackburn of MileHighSports.com reports.",0.3
GSW,GSW-jimmy-butler-iii,Jimmy Butler III,F,Dec 1,Out,"Aug 24: Butler (knee) is still in the relatively early stages of his recovery and has only recently begun getting back on the court, according to Danny Emerman of SFStandard.com.",1.0
GSW,GSW-moses-moody,Moses Moody,G,Dec 1,Out,"Mar 24: Moody has been diagnosed with a torn patellar tendon in his left knee, Shams Charania of ESPN reports.",1.0
HOU,HOU-kevin-durant,Kevin Durant,F,Oct 1,Day-To-Day,"Aug 5: Durant (ankle) averaged 26.0 points per game during his first season with Houston and continued to cement his place among the NBA's all-time great scorers, moving into the top five on the league's career 30-point games list.",0.3
HOU,HOU-fred-vanvleet,Fred VanVleet,G,Oct 1,Day-To-Day,"Jun 29: VanVleet (knee) exercised his $25 million player option for 2026-27 on Monday, Shams Charania of ESPN reports.",0.3
HOU,HOU-steven-adams,Steven Adams,C,Oct 1,Day-To-Day,"Jun 16: The Rockets announced Wednesday that Adams has undergone season-ending left ankle surgery, per Shams Charania of ESPN.",0.3
IND,IND-tyrese-haliburton,Tyrese Haliburton,G,Oct 1,Day-To-Day,"Jun 27: Haliburton said Saturday that he feels ""great,"" Scott Agness of FieldhouseFiles.com reports.",0.3
IND,IND-johnny-furphy,Johnny Furphy,G,Jan 1,Out,"Feb 9: Furphy was diagnosed with a torn right ACL on Monday and will miss the remainder of the season, Michael Scotto of USA Today reports.",1.0
LAC,LAC-jordan-miller,Jordan Miller,G,Mar 1,Out,"Aug 26: Miller underwent surgery Wednesday to repair a torn left rotator cuff and will be re-evaluated in six months, per Law Murray of The Athletic.",1.0
LAC,LAC-bradley-beal,Bradley Beal,G,Oct 1,Day-To-Day,"Aug 13: Beal (hip) agreed to a two-year, $13.2 million contract with Los Angeles on Thursday, Shams Charania of ESPN reports.",0.3
LAC,LAC-yanic-konan-niederhauser,Yanic Konan Niederhauser,C,Oct 1,Day-To-Day,"Jun 16: Niederhauser has been diagnosed with a Lisfranc injury in his right foot and will require surgery. He's been ruled out for the remainder of the 2025-26 season, Joey Linn of SI.com reports.",0.3
MEM,MEM-scotty-pippen-jr.,Scotty Pippen Jr.,G,Oct 1,Day-To-Day,Jul 27: Pippen (toe) has a chance to begin the new year as Memphis' starting point guard after Portland acquired Ja Morant in a trade with the Grizzlies earlier this offseason.,0.3
MEM,MEM-walter-clayton-jr.,Walter Clayton Jr.,G,Oct 1,Day-To-Day,"Jul 19: Clayton (knee) won't play in Sunday's Summer League title game against the Warriors, Drew Hill of The Daily Memphian reports.",0.3
MEM,MEM-karim-lopez,Karim Lopez,F,Oct 1,Day-To-Day,"Jul 19: Lopez (undisclosed) is out for Sunday's Summer League championship game against the Warriors, Drew Hill of The Daily Memphian reports.",0.3
MEM,MEM-richie-saunders,Richie Saunders,G,Dec 1,Out,Jun 24: Saunders was selected by the Grizzlies with the No. 32 overall pick in the 2026 NBA Draft.,1.0
MEM,MEM-jaylen-wells,Jaylen Wells,F,Oct 1,Day-To-Day,Jun 24: Wells (toe) should continue competing for rotation minutes on the wing despite Memphis adding Cameron Boozer with the No. 3 overall pick.,0.3
MEM,MEM-zach-edey,Zach Edey,C,Oct 1,Day-To-Day,"Jun 24: Edey's (ankle, elbow) role becomes more intriguing following Memphis' addition of Cameron Boozer.",0.3
MIA,MIA-giannis-antetokounmpo,Giannis Antetokounmpo,F,Oct 1,Day-To-Day,Sep 2: Antetokounmpo (knee) did not participate in Greece's latest FIBA World Cup qualifying window as he focused on preparing for the 2026-27 NBA season.,0.3
MIA,MIA-bam-adebayo,Bam Adebayo,C,Oct 1,Day-To-Day,"Jul 28: Adebayo's (back) fantasy outlook should remain strong after Miami acquired Giannis Antetokounmpo, though his offensive role could shift alongside another high-usage frontcourt star, Ira Winderman of the South Florida Sentinel opines.",0.3
MIA,MIA-trevor-keels,Trevor Keels,G,Oct 1,Day-To-Day,Jul 17: Keels (knee) didn't play in Friday's 101-87 Summer League win over the Pistons.,0.3
MIA,MIA-ryan-conwell,Ryan Conwell,G,Oct 1,Day-To-Day,"Jul 15: Conwell (hip) won't play again during the Las Vegas Summer League, per Tim Reynolds of Associated Press.",0.3
MIA,MIA-myron-gardner,Myron Gardner,F,Oct 1,Day-To-Day,"Jul 8: Gardner (ankle) won't participate in the Las Vegas Summer League, per Ira Winderman of the South Florida Sun Sentinel.",0.3
MIL,MIL-kevin-porter-jr.,Kevin Porter Jr.,G,Oct 1,Day-To-Day,"Jun 25: Porter exercised his $5.39 million player option for the 2026-27 campaign Thursday, Michael Scotto of USA Today reports.",0.3
MIN,MIN-donte-divincenzo,Donte DiVincenzo,G,Apr 1,Out,Apr 26: DiVincenzo will undergo surgery Sunday to repair a ruptured right Achilles tendon that he suffered during the Timberwolves Game 4 win over the Nuggets on Saturday.,1.0
NOP,NOP-micah-peavy,Micah Peavy,G,Oct 1,Day-To-Day,Jul 18: Peavy (rest) didn't play in Saturday's 91-73 Summer League loss to the Pacers.,0.3
NOP,NOP-bryce-mcgowens,Bryce McGowens,G,Oct 1,Day-To-Day,Jun 16: McGowens (toe) is out for Sunday's game against the Timberwolves.,0.3
NYK,NYK-mohamed-diawara,Mohamed Diawara,F,Oct 1,Day-To-Day,Jul 17: Diawara (finger) didn't play in Friday's 110-88 Summer League loss to the Mavericks.,0.3
NYK,NYK-jalen-brunson,Jalen Brunson,G,Oct 1,Day-To-Day,"Jul 7: Brunson is set to undergo surgery on his right wrist/forearm area Tuesday and is expected to require at least two months of rehab, Ian Begley of SportsNet New York reports.",0.3
OKC,OKC-isaiah-hartenstein,Isaiah Hartenstein,C,Oct 1,Day-To-Day,"Aug 18: Hartenstein (ankle) won't play for Germany during this summer's FIBA 2027 World Cup Qualifiers, per Eurohoops.net.",0.3
OKC,OKC-ajay-mitchell,Ajay Mitchell,G,Oct 1,Day-To-Day,"Jul 30: According to Bryan Toporek of Forbes, Oklahoma City's offseason roster shakeup opened additional opportunities in the backcourt after the departures of Isaiah Joe, Aaron Wiggins and Luguentz Dort.",0.3
OKC,OKC-otega-oweh,Otega Oweh,G,Oct 1,Day-To-Day,Jul 19: Oweh (lower leg) didn't play in Sunday's 108-90 Summer League loss to the Nets.,0.3
OKC,OKC-thomas-sorber,Thomas Sorber,C,Oct 1,Day-To-Day,"Jul 1: Sorber underwent a successful minor arthroscopic procedure on his right knee Wednesday and will return to full basketball activities in approximately four weeks, Clemente Almanza of USA Today reports.",0.3
OKC,OKC-jalen-williams,Jalen Williams,G,Oct 1,Day-To-Day,Jun 16: Williams (hamstring) has been ruled out for Saturday's Game 7 of the Western Conference Finals against the Spurs.,0.3
OKC,OKC-nikola-topic,Nikola Topic,G,Oct 1,Day-To-Day,"Jun 16: Topic (back) underwent surgery Saturday and is expected to be ready for the start of training camp, Justin Martinez of The Oklahoman reports.",0.3
ORL,ORL-franz-wagner,Franz Wagner,F,Oct 1,Day-To-Day,Sep 2: Wagner (calf) did not participate in Germany's latest FIBA World Cup qualifying window as he focuses on preparing for the 2026-27 NBA season.,0.3
ORL,ORL-izaiyah-nelson,Izaiyah Nelson,F,Nov 1,Day-To-Day,"Jul 13: The Magic announced Monday that Nelson will undergo surgery to repair a fracture in his left ankle, and he's expected to return to basketball activities in 3-4 months.",0.3
ORL,ORL-jonathan-isaac,Jonathan Isaac,F,Oct 1,Day-To-Day,"Jul 1: Isaac (knee) will return to the Magic on a one-year deal, Jason Beede of the Orlando Sentinel reports.",0.3
PHI,PHI-kentavious-caldwell-pope,Kentavious Caldwell-Pope,G,Oct 1,Day-To-Day,"Jul 25: Caldwell-Pope (finger) agreed to a buyout with the Grizzlies on Saturday and plans to sign a one-year, $3.9 million contract with the 76ers, Shams Charania of ESPN reports.",0.3
PHO,PHO-cj-huntley,CJ Huntley,F,Oct 1,Day-To-Day,"Jul 18: Huntley (hamstring) is out for Saturday's Las Vegas Summer League finale versus the Spurs, Duane Rankin of The Arizona Republic reports.",0.3
PHO,PHO-mark-williams,Mark Williams,C,Oct 1,Day-To-Day,"Jun 25: Williams (foot) plans to sign a three-year, $38 million contract to remain with the Suns, Shams Charania of ESPN reports.",0.3
POR,POR-ja-morant,Ja Morant,G,Oct 1,Day-To-Day,Sep 4: Morant is set to share the playmaking duties with Damian Lillard in Portland's starting backcourt after being traded from Memphis.,0.3
POR,POR-shaedon-sharpe,Shaedon Sharpe,G,Mar 1,Out,"Aug 24: Sharpe suffered a torn meniscus in his knee and is expected to miss six months, per Shams Charania of ESPN.",1.0
POR,POR-damian-lillard,Damian Lillard,G,Oct 1,Day-To-Day,"Jun 16: Lillard (Achilles) defeated Devin Booker and Kon Knueppel in the final round of Saturday's 2026 State Farm 3-Point Contest, taking home his third title.",0.3
SAC,SAC-domantas-sabonis,Domantas Sabonis,F,Oct 1,Day-To-Day,Sep 2: Sabonis (knee) did not participate in Lithuania's latest FIBA World Cup qualifying window as he turned his attention toward preparing for the 2026-27 NBA season.,0.3
SAC,SAC-keegan-murray,Keegan Murray,F,Oct 1,Day-To-Day,"Jul 31: Murray (ankle) is projected to start at power forward for the Kings in 2026-27, according to Kings beat writer Chris Watkins.",0.3
SAC,SAC-zach-lavine,Zach LaVine,G,Oct 1,Day-To-Day,"Jun 29: LaVine (hand) exercised his $49 million player option for 2026-27 on Monday, Shams Charania of ESPN reports.",0.3
SAC,SAC-de'andre-hunter,De'Andre Hunter,F,Oct 1,Day-To-Day,Jun 25: Hunter (eye) has a major competitor for usage after the Kings took Darius Acuff in the 2026 WNBA Draft.,0.3
SAS,SAS-david-jones-garcia,David Jones Garcia,F,Oct 1,Day-To-Day,"Jul 22: Jones Garcia (ankle) agreed to a two-way contract with the Spurs on Wednesday, per Michael Scotto of HoopsHype.com.",0.3
SAS,SAS-jayden-quaintance,Jayden Quaintance,F,Dec 1,Out,"Jul 19: Quaintance underwent right knee surgery Wednesday and has no timetable for a return, Brett Siegel of ClutchPoints.com reports.",1.0
TOR,TOR-nate-bittle,Nate Bittle,C,Oct 1,Day-To-Day,"Jul 19: Bittle won't play in Sunday's Summer League game against the Nuggets due to right knee soreness, Zulfi Sheikh of Sportsnet reports.",0.3
TOR,TOR-alijah-martin,Alijah Martin,G,Oct 1,Day-To-Day,"Jul 19: Martin (knee) won't play in Sunday's Summer League game against the Nuggets, Zulfi Sheikh of Sportsnet reports.",0.3
TOR,TOR-chucky-hepburn,Chucky Hepburn,G,Oct 1,Day-To-Day,"Jul 19: Hepburn (knee) won't play in Sunday's Summer League game against the Nuggets, Zulfi Sheikh of Sportsnet reports.",0.3
TOR,TOR-collin-murray-boyles,Collin Murray-Boyles,F,Oct 1,Day-To-Day,"Jul 19: Murray-Boyles (finger) won't play in Sunday's Summer League game against the Nuggets, Zulfi Sheikh of sportsnet reports.",0.3
TOR,TOR-immanuel-quickley,Immanuel Quickley,G,Oct 1,Day-To-Day,"Jun 16: Quickley (hamstring) is out for the remainder of Toronto's first-round series against Cleveland, per NBA reporter Marc Stein.",0.3
UTA,UTA-trey-alexander,Trey Alexander,G,Oct 1,Day-To-Day,"Jul 17: Alexander (rib) is out for Friday's Summer League game against Portland, per Ben Anderson of KSL News Salt Lake City.",0.3
UTA,UTA-jaren-jackson-jr.,Jaren Jackson Jr.,F,Oct 1,Day-To-Day,Jun 24: The Jazz's selection of Darryn Peterson gives Jackson (knee) another high-end offensive creator to play alongside entering 2026-27.,0.3
WAS,WAS-jamir-watkins,Jamir Watkins,G,Apr 1,Out,Jul 30: The Wizards announced Thursday that Watkins has undergone surgery for a torn ACL.,1.0
WAS,WAS-alex-sarr,Alex Sarr,C,Oct 1,Day-To-Day,Jun 24: Washington's selection of AJ Dybantsa likely won't significantly alter Sarr's role heading into his third NBA season,0.3
WAS,WAS-anthony-davis,Anthony Davis,F,Oct 1,Day-To-Day,"Jun 24: The Wizards selected AJ Dybantsa with the No. 1 overall pick in the 2026 NBA Draft, adding another high-usage scorer to the roster.",0.3
WAS,WAS-trae-young,Trae Young,G,Oct 1,Day-To-Day,"Jun 22: Young (quadriceps) plans to sign a four-year, $212 million deal with the Wizards, Shams Charania of ESPN reports.",0.3
